{'time': 1731580464.6691656, 'action': 'right', 'cumulative_go': 0.9927926063537598, 'cumulative_right': 1.6033306121826172, 'cumulative_left': 2.020822525024414, 'contour_L_center': (54, 166), 'contour_R_center': (None, None), 'slope_L': -1.7468354430379747, 'slope_R': None}
{'time': 1731580464.710819, 'action': 'right', 'cumulative_go': 0.9927926063537598, 'cumulative_right': 1.6449766159057617, 'cumulative_left': 2.020822525024414, 'contour_L_center': (57, 159), 'contour_R_center': (None, None), 'slope_L': -1.7333333333333334, 'slope_R': None}
{'time': 1731580464.7515132, 'action': 'go', 'cumulative_go': 1.0334784984588623, 'cumulative_right': 1.6449766159057617, 'cumulative_left': 2.020822525024414, 'contour_L_center': (59, 150), 'contour_R_center': (596, 48), 'slope_L': -1.7837837837837838, 'slope_R': 1.1304347826086956}
{'time': 1731580464.794301, 'action': 'go', 'cumulative_go': 1.0762593746185303, 'cumulative_right': 1.6449766159057617, 'cumulative_left': 2.020822525024414, 'contour_L_center': (31, 194), 'contour_R_center': (589, 48), 'slope_L': -2.0714285714285716, 'slope_R': 1.161764705882353}
{'time': 1731580464.8343203, 'action': 'right', 'cumulative_go': 1.0762593746185303, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.020822525024414, 'contour_L_center': (29, 189), 'contour_R_center': (None, None), 'slope_L': -2.0625, 'slope_R': None}
{'time': 1731580464.8744774, 'action': 'go', 'cumulative_go': 1.1164088249206543, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.020822525024414, 'contour_L_center': (22, 191), 'contour_R_center': (569, 36), 'slope_L': -2.1052631578947367, 'slope_R': 1.14}
{'time': 1731580464.914426, 'action': 'go', 'cumulative_go': 1.1563456058502197, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.020822525024414, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580464.9567637, 'action': 'left', 'cumulative_go': 1.1563456058502197, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.0631535053253174, 'contour_L_center': (None, None), 'contour_R_center': (577, 52), 'slope_L': None, 'slope_R': 1.161764705882353}
{'time': 1731580464.996276, 'action': 'left', 'cumulative_go': 1.1563456058502197, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.102659225463867, 'contour_L_center': (None, None), 'contour_R_center': (571, 51), 'slope_L': None, 'slope_R': 1.15625}
{'time': 1731580465.035185, 'action': 'left', 'cumulative_go': 1.1563456058502197, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.14156174659729, 'contour_L_center': (None, None), 'contour_R_center': (572, 58), 'slope_L': None, 'slope_R': 1.1515151515151516}
{'time': 1731580465.0744734, 'action': 'left', 'cumulative_go': 1.1563456058502197, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.1808433532714844, 'contour_L_center': (None, None), 'contour_R_center': (582, 71), 'slope_L': None, 'slope_R': 1.18}
{'time': 1731580465.1156008, 'action': 'go', 'cumulative_go': 1.1974549293518066, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.1808433532714844, 'contour_L_center': (None, None), 'contour_R_center': (None, None), 'slope_L': None, 'slope_R': None}
{'time': 1731580465.1562598, 'action': 'left', 'cumulative_go': 1.1974549293518066, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.2214956283569336, 'contour_L_center': (None, None), 'contour_R_center': (583, 77), 'slope_L': None, 'slope_R': 1.2361111111111112}
{'time': 1731580465.1949856, 'action': 'left', 'cumulative_go': 1.1974549293518066, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.26021409034729, 'contour_L_center': (None, None), 'contour_R_center': (604, 106), 'slope_L': None, 'slope_R': 1.323076923076923}
{'time': 1731580465.2358668, 'action': 'go', 'cumulative_go': 1.2383275032043457, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.26021409034729, 'contour_L_center': (74, 69), 'contour_R_center': (596, 95), 'slope_L': -1.5238095238095237, 'slope_R': 1.3373493975903614}
{'time': 1731580465.2760806, 'action': 'left', 'cumulative_go': 1.2383275032043457, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.3004207611083984, 'contour_L_center': (None, None), 'contour_R_center': (591, 87), 'slope_L': None, 'slope_R': 1.328125}
{'time': 1731580465.3196256, 'action': 'go', 'cumulative_go': 1.2818653583526611, 'cumulative_right': 1.6849887371063232, 'cumulative_left': 2.3004207611083984, 'contour_L_center': (17, 161), 'contour_R_center': (600, 100), 'slope_L': -1.625, 'slope_R': 1.3783783783783783}
